Name,Free,Paid,Total,Paid(Rs.)
DINESH SHRESTHAOS Nepal Music Award 2076,3,2200,2203,11000
NARAYAN BABU KOIRALAOS Nepal Music Award 2076,3,3600,3603,18000
KAJISH SHRESTHAOS Nepal Music Award 2076,8,2460,2468,12300
ANIL LAMAOS Nepal Music Award 2076,5,2755,2760,13775
PRADIP K. GLANOS Nepal Music Award 2076,7,1400,1407,7000
RAMESH DAHALOS Nepal Music Award 2076,7,325,332,1625
ANGELA SHRESTHAOS Nepal Music Award 2076,7,200,207,1000
CHANDAN DUTTAOS Nepal Music Award 2076,6,3100,3106,15500
BIRENDRA SHRESHTAOS Nepal Music Award 2076,9,3180,3189,15900
AJAY REGMIOS Nepal Music Award 2076,7,0,7,0
DEEPAK VISTAOS Nepal Music Award 2076,5,125,130,625
MAHENDRA GAUTAMOS Nepal Music Award 2076,3,0,3,0
SRIJANA KHATRIOS Nepal Music Award 2076,2,500,502,2500
SOBHA THAPAOS Nepal Music Award 2076,6,0,6,0
GUNRAJ SHRESTHA & TIKA PRASAINOS Nepal Music Award 2076,3,975,978,4875
SHIVA KARKIOS Nepal Music Award 2076,20,10,30,50
SUNIL KATWALOS Nepal Music Award 2076,1,13000,13001,65000
BIKASH GYAWALIOS Nepal Music Award 2076,2,500,502,2500
DP KHANALOS Nepal Music Award 2076,3,1000,1003,5000
SHANKAR THAPAOS Nepal Music Award 2076,1,1000,1001,5000
UDESH SHRESHTAOS Nepal Music Award 2076,10,0,10,0
RAMILA NEUPANEOS Nepal Music Award 2076,18,0,18,0
SACHIN RAUNIYAROS Nepal Music Award 2076,8,0,8,0
GOVINDA LUITELOS Nepal Music Award 2076,1,0,1,0
SURESH WAGLEOS Nepal Music Award 2076,9,5,14,25
BALKRISHNA NEUPANEYOS Nepal Music Award 2076,1,0,1,0
BABITA RAIOS Nepal Music Award 2076,2,0,2,0
D.R SUJANOS Nepal Music Award 2076,14,6000,6014,30000
DEVENDRA CHHETRIOS Nepal Music Award 2076,2,0,2,0
TIKA PRASAINOS Nepal Music Award 2076,3,0,3,0
BABU BOGATIOS Nepal Music Award 2076,10,500,510,2500
GANESH CHAULAGAIOS Nepal Music Award 2076,3,0,3,0
HARI SHARAN SAYAMUOS Nepal Music Award 2076,2,2100,2102,10500
KRISHNA BHAKTA MAHARJANOS Nepal Music Award 2076,3,2000,2003,10000
PUJA SUNUWAROS Nepal Music Award 2076,9,200,209,1000
PREM SENOS Nepal Music Award 2076,1,0,1,0
RB KHADKAOS Nepal Music Award 2076,3,0,3,0
SHREEDHARA ADHIKARIOS Nepal Music Award 2076,2,0,2,0
